filename,width,height,class,xmin,ymin,xmax,ymax
100000001.bmp,1166,753,ship,190,245,969,523
100000002.bmp,1146,818,ship,312,35,768,758
100000004.bmp,1168,804,ship,218,239,954,424
100000006.bmp,1172,816,ship,122,68,585,793
100000007.bmp,1112,817,ship,644,106,968,804
100000008.bmp,1053,788,ship,327,189,423,370
100000008.bmp,1053,788,ship,253,438,314,536
100000009.bmp,1138,833,ship,629,29,815,793
100000010.bmp,1186,815,ship,202,176,981,492
100000011.bmp,1174,818,ship,164,398,366,449
100000622.bmp,1153,688,ship,58,437,605,638
100000622.bmp,1153,688,ship,65,40,428,165
100000624.bmp,1179,823,ship,122,295,251,585
100000624.bmp,1179,823,ship,194,296,317,600
100000624.bmp,1179,823,ship,254,285,363,596
100000624.bmp,1179,823,ship,318,296,413,575
100000624.bmp,1179,823,ship,359,302,464,606
100000624.bmp,1179,823,ship,419,320,527,602
100000624.bmp,1179,823,ship,578,237,658,521
100000624.bmp,1179,823,ship,624,226,716,512
100000624.bmp,1179,823,ship,673,215,758,485
100000627.bmp,1182,793,ship,50,520,399,627
100000628.bmp,1170,827,ship,223,119,444,458
100000628.bmp,1170,827,ship,548,230,825,473
100000628.bmp,1170,827,ship,595,332,809,529
100000628.bmp,1170,827,ship,192,670,610,827
100000628.bmp,1170,827,ship,1,652,300,827
100000629.bmp,1209,819,ship,112,193,369,364
100000631.bmp,1181,829,ship,658,128,997,770
100000632.bmp,1194,828,ship,371,258,567,642
100000633.bmp,1199,820,ship,41,162,193,417
100000633.bmp,1199,820,ship,36,455,113,764
100000633.bmp,1199,820,ship,389,411,697,559
100000633.bmp,1199,820,ship,383,471,679,612
100000633.bmp,1199,820,ship,393,546,668,659
100000633.bmp,1199,820,ship,349,581,642,726
100000636.bmp,1157,819,ship,218,506,462,681
100000637.bmp,1191,837,ship,53,61,391,540
100000637.bmp,1191,837,ship,268,28,494,345
100000637.bmp,1191,837,ship,496,369,759,767
100000637.bmp,1191,837,ship,762,64,1110,522
100000638.bmp,1189,830,ship,84,268,127,318
100000638.bmp,1189,830,ship,58,280,109,333
100000638.bmp,1189,830,ship,376,557,441,638
100000638.bmp,1189,830,ship,381,144,663,499
100000638.bmp,1189,830,ship,732,330,909,547
100000638.bmp,1189,830,ship,105,342,143,395
100000639.bmp,1191,824,ship,220,361,620,766
100000640.bmp,1174,827,ship,532,133,605,408
100000641.bmp,1179,812,ship,524,418,639,724
100000642.bmp,1183,828,ship,219,600,626,682
100000642.bmp,1183,828,ship,139,161,182,244
100000642.bmp,1183,828,ship,179,171,522,237
100000642.bmp,1183,828,ship,601,239,1160,365
100000642.bmp,1183,828,ship,767,677,1115,760
100000644.bmp,1180,832,ship,441,463,526,681
100000644.bmp,1180,832,ship,567,210,632,231
100000644.bmp,1180,832,ship,503,183,564,201
100000644.bmp,1180,832,ship,570,191,634,213
100000646.bmp,1193,832,ship,588,429,935,624
100000649.bmp,1178,827,ship,586,30,692,757
100000651.bmp,1174,814,ship,280,384,427,636
100000652.bmp,1178,826,ship,406,417,588,608
100000652.bmp,1178,826,ship,857,67,912,123
100000655.bmp,1181,823,ship,147,152,557,428
100000655.bmp,1181,823,ship,718,498,1140,771
100000655.bmp,1181,823,ship,7,711,204,823
100000657.bmp,1185,826,ship,86,513,329,778
100000660.bmp,1070,793,ship,605,527,841,699
100000662.bmp,1181,836,ship,516,132,597,394
100000662.bmp,1181,836,ship,929,465,1020,722
100000664.bmp,1166,827,ship,206,274,387,638
100000664.bmp,1166,827,ship,326,148,487,477
100000665.bmp,1166,821,ship,378,124,557,500
100000667.bmp,1159,819,ship,768,260,879,591
100000668.bmp,1023,802,ship,527,208,767,310
100000669.bmp,922,615,ship,365,258,603,320
100000671.bmp,1173,828,ship,564,143,802,213
100000671.bmp,1173,828,ship,506,194,810,263
100000671.bmp,1173,828,ship,447,532,704,646
100000671.bmp,1173,828,ship,468,484,691,601
100000671.bmp,1173,828,ship,992,3,1069,137
100000671.bmp,1173,828,ship,1055,6,1104,119
100000675.bmp,1173,809,ship,277,607,526,712
100000675.bmp,1173,809,ship,545,231,617,437
100000675.bmp,1173,809,ship,689,276,761,594
100000678.bmp,1184,826,ship,130,458,406,725
100000678.bmp,1184,826,ship,410,158,709,435
100000678.bmp,1184,826,ship,819,519,1084,764
100000681.bmp,918,743,ship,599,91,732,269
100000682.bmp,1179,830,ship,331,610,603,671
100000682.bmp,1179,830,ship,756,645,1037,705
100000682.bmp,1179,830,ship,328,273,602,318
100000683.bmp,1181,825,ship,139,531,465,634
100000683.bmp,1181,825,ship,647,646,972,743
100000683.bmp,1181,825,ship,182,127,515,214
100000684.bmp,1169,820,ship,399,627,608,780
100000684.bmp,1169,820,ship,692,452,863,574
100000687.bmp,1164,831,ship,244,667,364,740
100000689.bmp,1049,808,ship,385,217,532,441
100000691.bmp,1176,824,ship,516,664,847,814
100000691.bmp,1176,824,ship,180,56,507,204
100000691.bmp,1176,824,ship,766,271,893,347
100000692.bmp,1087,758,ship,655,193,820,411
100000692.bmp,1087,758,ship,201,307,223,335
100000693.bmp,1035,744,ship,544,296,731,488
100000694.bmp,1194,836,ship,58,438,346,502
100000694.bmp,1194,836,ship,472,509,833,590
100000694.bmp,1194,836,ship,860,448,888,585
100000694.bmp,1194,836,ship,890,451,924,589
100000694.bmp,1194,836,ship,117,72,405,142
100000694.bmp,1194,836,ship,545,145,863,228
100000694.bmp,1194,836,ship,814,702,930,737
100000695.bmp,1173,791,ship,160,72,227,297
100000695.bmp,1173,791,ship,528,155,586,331
100000695.bmp,1173,791,ship,578,163,657,483
100000699.bmp,1173,823,ship,189,17,245,197
100000699.bmp,1173,823,ship,140,278,200,475
100000699.bmp,1173,823,ship,88,562,153,742
100000701.bmp,1023,728,ship,302,396,416,436
